temperature (C),humidity
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,43
26,42
26,43
26,43
26,43
26,43
26,43
26,43
26,43
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,43
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,43
26,43
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,43
26,43
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,41
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
26,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
