temperature (C),humidity
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,42
25,43
25,43
25,43
